id,task_type,start_time,end_time,queue_length_h0,queue_length_h1,queue_length_h2,queue_length_h3,is_last_main,end2end_delay,service_delay_0,queue_delay_0,service_delay_1,queue_delay_1,service_delay_2,queue_delay_2,service_delay_3,queue_delay_3,time_in_service_h0,longer_delay_prob_h0,time_in_service_h1,longer_delay_prob_h1,time_in_service_h2,longer_delay_prob_h2,time_in_service_h3,longer_delay_prob_h3
0.0,main,0.0,37.03875678676625,5.0,5.0,5.0,5.0,true,37.03875678676625,2.6174617502870454,14.473974483609776,1.761513273054458,7.09946423483245,2.088988540428243,3.492875588501299,1.8232772700861588,3.6812016459668193,,0.0,,0.0,,0.0,,0.0
1.0,main,37.03875678676625,82.79062283005997,5.0,5.0,5.0,5.0,true,45.751866043293724,2.0693141392531302,16.63550536040269,1.7738729841109802,0.0,3.1878929611207667,9.132158626466207,2.8924797902732564,10.060642181666694,,0.0,,0.0,,0.0,,0.0
2.0,main,82.79062283005997,126.4831413614675,5.0,5.0,5.0,5.0,true,43.69251853140753,4.082527930858532,15.154221495711155,2.433857976061091,0.0,1.4549217776680052,9.03882350835083,2.038551367634085,9.48961447512383,,0.0,,0.0,,0.0,,0.0
3.0,main,126.4831413614675,170.1995851514701,5.0,5.0,5.0,5.0,true,43.7164437900026,2.122831462185019,10.303350662650772,1.1589137238215699,18.697518064677155,2.216017431009675,0.883145884896777,3.4049420416675105,4.929724519094123,,0.0,,0.0,,0.0,,0.0
4.0,main,170.1995851514701,216.62069610496317,5.0,5.0,5.0,5.0,true,46.42111095349307,3.117200727331152,10.055061674007561,0.6642718288734955,15.251167339923086,1.2649087955114737,8.782750532418788,1.5227202468817325,5.763029808545781,,0.0,,0.0,,0.0,,0.0
5.0,main,216.62069610496317,268.99497339829554,5.0,5.0,5.0,5.0,true,52.37427729333237,3.4812159732865666,10.806744269251197,2.2819298045244523,10.734931314123628,2.535493884035901,10.82912982070863,3.049742981850045,8.655089245551949,,0.0,,0.0,,0.0,,0.0
6.0,main,268.99497339829554,312.9978653976256,5.0,5.0,5.0,5.0,true,44.002891999330075,3.5989856193720584,11.92493687342784,1.775718408966327,8.724220585404964,2.0195871429932026,12.97095470564085,2.0867395081531868,0.9017491553716468,,0.0,,0.0,,0.0,,0.0
7.0,main,312.9978653976256,370.9144663262401,5.0,5.0,5.0,5.0,true,57.91660092861446,2.015382419859918,14.834571760461074,2.0747835958857195,8.126699690636713,3.8299825162737307,6.410935983528134,1.841906659363076,18.782338302606092,,0.0,,0.0,,0.0,,0.0
8.0,main,370.9144663262401,415.472743113852,5.0,5.0,5.0,5.0,true,44.55827678761193,1.5988264260320761,11.13242754296482,4.323084603640268,12.276671919609555,1.8616286542356306,1.0957328561104305,3.715611822014637,8.554292963004514,,0.0,,0.0,,0.0,,0.0
9.0,main,415.472743113852,459.73568291011674,5.0,5.0,5.0,5.0,true,44.26293979626473,1.4587647787362812,12.124832067812633,5.895894432842908,6.557483100609147,7.53297184100154,8.835340954990443,1.8576526202717787,0.0,,0.0,,0.0,,0.0,,0.0
10.0,main,459.73568291011674,499.728805200564,5.0,5.0,5.0,5.0,true,39.993122290447275,3.386723077470265,9.090320137459912,1.1195979425485802,5.619598941021422,2.72786470533174,10.940989726484133,2.691903182864735,4.416124577266487,,0.0,,0.0,,0.0,,0.0
11.0,main,499.728805200564,548.5906570384429,5.0,5.0,5.0,5.0,true,48.86185183787893,4.392932434806937,10.392228468218434,2.2411198889448087,8.174770288934496,2.9220146043865043,7.590986959034353,4.2425960883739435,8.905203105179453,,0.0,,0.0,,0.0,,0.0
12.0,main,548.5906570384429,592.7506459902904,5.0,5.0,5.0,5.0,true,44.15998895184748,1.127791304735183,14.381779753340084,2.102933725293724,7.536229401459991,3.0491609861057896,11.752683640163355,1.532699785373211,2.6767103553761444,,0.0,,0.0,,0.0,,0.0
13.0,main,592.7506459902904,631.3632537800198,5.0,5.0,5.0,5.0,true,38.612607789729395,1.2864891413090618,9.25555100567783,2.040320164763557,6.284908943173377,2.308015609580252,10.060295663270722,2.6565109166942875,4.720516345260307,,0.0,,0.0,,0.0,,0.0
14.0,main,631.3632537800198,687.82950851078,5.0,5.0,5.0,5.0,true,56.46625473076017,1.8123695342044357,13.9133399049324,2.520780681110409,4.7074530661780045,1.986580824150792,17.58755096854395,1.3507544240670768,12.5874253275731,,0.0,,0.0,,0.0,,0.0
15.0,main,687.82950851078,733.5006185005079,5.0,5.0,5.0,5.0,true,45.67110998972794,1.970931746487281,9.68784176491863,1.8742998648801859,13.465220771633767,3.280644580701619,12.265450479762762,1.9507664893075116,1.175954292036181,,0.0,,0.0,,0.0,,0.0
16.0,main,733.5006185005079,774.4441331640687,5.0,5.0,5.0,5.0,true,40.94351466356079,1.9964056413637081,10.181402532330821,2.456400547135445,3.857804711820222,1.7793684540223467,4.33454258992731,2.7465454216458056,13.591044765315132,,0.0,,0.0,,0.0,,0.0
17.0,main,774.4441331640687,816.6414487664193,5.0,5.0,5.0,5.0,true,42.19731560235061,2.681393677906044,10.690590727050562,1.8837292316206913,11.998615343864572,2.0626912408109774,3.321389379180573,1.56032189783798,7.998584104079214,,0.0,,0.0,,0.0,,0.0
18.0,main,816.6414487664193,863.4907876967224,5.0,5.0,5.0,5.0,true,46.84933893030302,2.3615302134254534,6.0340033076066675,4.121302459008007,11.802881991887034,3.243527626165701,13.369379673116782,2.0864095169155235,3.8303041421778516,,0.0,,0.0,,0.0,,0.0
